,Team,Pct.,Assists per Game,CTO per Game,Clears per Game,DCs per Game,Fouls per Game,FPS per Game,GBs per Game,Shots per Game,TO per Game,Yellow Cards per Game
47,Howard,0.0,0,6.47,0,0,13.2,0,14.33,0,19.2,1.87
55,La Salle,0.0,2.67,5.47,14.33,9.47,13.93,5.07,18.2,20.27,17.53,3.13
35,FDU,0.077,3.08,6.46,12.08,11.31,16.54,3.85,13.85,20.69,18.69,1.54
0,Akron,0.118,2.53,7.65,11.65,11.76,14.12,5.65,18.53,23.71,18.35,2.0
56,Lafayette,0.118,3.82,6.18,15.94,12.06,12.94,6.0,17.88,26.41,16.53,1.76
26,Delaware St.,0.125,1.62,5.44,9.81,11.69,11.13,5.94,11.19,22.56,16.44,2.06
33,Eastern Mich.,0.125,3.81,8.0,13.31,13.81,14.13,5.38,18.06,23.69,17.19,1.69
31,Duquesne,0.125,3.19,8.5,17.13,11.75,14.88,5.5,17.19,24.19,17.12,1.94
40,George Mason,0.133,2.53,5.07,12.4,13.93,16.93,4.27,11.53,22.73,15.4,3.07
21,Columbia,0.2,3.47,6.27,13.47,11.47,14.67,5.4,15.73,24.8,15.47,1.6
28,Detroit Mercy,0.214,4.86,7.86,16.21,10.86,23.43,4.07,17.07,25.57,15.86,3.07
70,Mount St. Mary's,0.235,4.0,9.06,16.76,12.65,13.35,4.18,18.88,24.12,18.65,2.18
78,Old Dominion,0.235,2.29,8.88,16.59,10.06,17.71,5.29,15.18,22.76,19.53,3.12
52,Kennesaw St.,0.235,5.71,6.29,13.41,14.0,18.18,5.18,14.71,24.47,19.53,2.71
82,Pittsburgh,0.235,2.24,6.88,13.94,11.0,23.94,4.76,13.59,22.82,15.82,2.41
39,Gardner-Webb,0.235,5.47,9.35,14.53,12.41,16.35,4.06,16.59,24.65,17.53,2.47
59,Longwood,0.25,5.06,8.69,16.25,13.63,17.69,4.88,15.06,26.88,18.12,2.88
116,Winthrop,0.25,3.81,8.06,13.5,11.94,18.75,4.81,14.38,22.12,18.56,2.31
34,Elon,0.25,3.31,6.94,16.0,12.5,19.19,5.06,14.31,25.38,14.75,1.94
45,Hofstra,0.25,5.19,5.69,17.69,11.88,13.06,5.06,13.75,27.69,14.19,1.38
63,Marist,0.25,4.06,6.0,12.94,13.69,20.06,4.25,15.56,24.44,16.62,1.88
19,Colgate,0.267,4.2,5.27,16.0,14.87,14.53,5.53,14.8,27.53,15.27,0
109,Vanderbilt,0.267,4.33,7.8,16.67,11.47,20.33,5.2,17.73,24.6,15.93,2.07
14,Central Conn. St.,0.267,2.4,7.6,15.0,11.33,20.87,4.0,15.13,23.07,16.73,2.93
11,California,0.278,3.89,5.06,13.94,13.0,16.61,6.11,13.33,25.06,14.06,0.94
118,Xavier,0.286,3.14,8.07,12.43,13.57,22.57,4.5,15.71,22.36,18.64,3.07
79,Oregon,0.294,4.06,6.59,14.41,12.24,26.0,5.24,13.76,26.71,13.47,2.29
77,Ohio St.,0.294,4.12,7.41,15.71,10.94,26.29,6.35,15.82,23.53,16.24,2.35
86,Radford,0.294,3.88,8.71,16.88,11.59,15.71,5.94,18.47,23.12,19.35,2.24
60,Louisville,0.294,2.94,6.88,15.65,11.47,20.12,5.53,14.29,24.47,15.41,2.35
2,Arizona St.,0.316,3.26,5.74,15.42,13.84,23.89,5.42,12.95,25.37,13.74,2.58
120,Youngstown St.,0.333,4.89,6.67,14.72,14.22,16.0,5.5,14.56,26.61,15.44,2.61
10,Butler,0.333,3.33,6.0,14.2,14.73,12.2,4.53,14.73,23.73,18.93,2.2
96,St. Bonaventure,0.333,4.5,6.67,16.72,11.17,9.22,7.28,13.78,22.89,15.39,2.22
41,George Washington,0.333,3.22,7.33,15.67,12.06,13.83,4.28,17.83,23.61,14.5,1.61
72,New Hampshire,0.333,4.2,5.87,15.27,12.2,10.87,5.6,14.8,25.73,12.33,1.47
62,Manhattan,0.353,4.18,7.12,13.65,12.0,14.65,4.71,17.0,24.24,17.24,1.82
83,Presbyterian,0.353,2.76,7.18,15.88,8.53,9.59,5.24,14.12,23.76,14.82,1.47
1,American,0.375,4.69,5.69,13.88,12.81,10.06,5.13,11.81,24.75,15.31,1.69
107,UMass Lowell,0.375,3.75,9.56,15.56,11.44,19.5,4.19,18.31,23.94,15.31,2.75
93,San Diego St.,0.375,4.06,7.69,14.13,11.13,22.69,4.44,17.06,24.69,14.62,1.81
9,Bucknell,0.375,5.94,9.88,16.13,14.25,17.94,6.88,17.31,30.38,14.56,2.06
